"","term","medianJJ","lib_median","lib_court","caseId","docketId","caseIssuesId","voteId","dateDecision","decisionType","usCite","sctCite","ledCite","lexisCite","naturalCourt","chief","docket","caseName","dateArgument","dateRearg","petitioner","petitionerState","respondent","respondentState","jurisdiction","adminAction","adminActionState","threeJudgeFdc","caseOrigin","caseOriginState","caseSource","caseSourceState","lcDisagreement","certReason","lcDisposition","lcDispositionDirection","declarationUncon","caseDisposition","caseDispositionUnusual","partyWinning","precedentAlteration","voteUnclear","issue","issueArea","decisionDirection","decisionDirectionDissent","authorityDecision1","authorityDecision2","lawType","lawSupp","lawMinor","majOpinWriter","majOpinAssigner","splitVote","majVotes","minVotes","_merge"
"3262",1967,"TMarshall",1,1,"1967-152","1967-152-01","1967-152-01-01","1967-152-01-01-01",1968-06-03,2,"391 U.S. 596","88 S. Ct. 1713","20 L. Ed. 2d 838","1968 U.S. LEXIS 1475",1410,"Warren","1393 M","JOHNSON v. FLORIDA",NA,NA,100,NA,28,12,2,NA,NA,0,302,12,300,12,0,1,2,1,1,3,0,1,0,0,40010,4,2,0,2,7,2,230,"",NA,90,1,5,4,3
"3263",1967,"TMarshall",1,1,"1967-048","1967-048-01","1967-048-01-01","1967-048-01-01-01",1967-12-18,2,"389 U.S. 413","88 S. Ct. 541","19 L. Ed. 2d 643","1967 U.S. LEXIS 4",1410,"Warren","14 M","BROOKS v. FLORIDA",NA,NA,215,NA,28,12,1,NA,NA,0,302,12,301,12,0,12,2,1,1,3,0,1,0,0,10010,1,2,0,2,NA,2,230,"",NA,90,1,9,0,3
"3264",1967,"TMarshall",1,1,"1967-114","1967-114-07","1967-114-07-01","1967-114-07-01-01",1968-05-06,1,"391 U.S. 9","88 S. Ct. 1526","20 L. Ed. 2d 388","1968 U.S. LEXIS 2923",1410,"Warren","143","SKELLY OIL CO. et al. v. PUBLIC SERVICE COMMISSION OF NEW YORK et al.",1968-01-22,NA,198,NA,4,37,1,52,NA,0,32,NA,32,NA,0,11,12,2,1,3,0,1,0,0,80300,8,2,0,5,4,3,355,"",91,90,1,8,0,3
"3265",1967,"TMarshall",1,1,"1967-114","1967-114-08","1967-114-08-01","1967-114-08-01-01",1968-05-06,1,"391 U.S. 9","88 S. Ct. 1526","20 L. Ed. 2d 388","1968 U.S. LEXIS 2923",1410,"Warren","144","FEDERAL POWER COMMISSION v. PUBLIC SERVICE COMMISSION OF NEW YORK et al.",1968-01-22,NA,352,NA,4,37,1,52,NA,0,32,NA,32,NA,0,11,12,2,1,3,0,1,0,0,80300,8,2,0,5,4,3,355,"",91,90,1,8,0,3
"3266",1967,"TMarshall",1,1,"1967-124","1967-124-01","1967-124-01-01","1967-124-01-01-01",1968-05-20,1,"391 U.S. 216","88 S. Ct. 1472","20 L. Ed. 2d 538","1968 U.S. LEXIS 1632",1410,"Warren","149","DYKE et al. v. TAYLOR IMPLEMENT MANUFACTURING CO., INC.",1968-01-18,NA,100,NA,151,NA,1,NA,NA,0,302,50,300,50,0,12,2,1,1,4,0,1,0,0,10580,1,1,1,2,NA,2,215,"",95,90,1,7,2,3
"3267",1967,"TMarshall",1,1,"1967-034","1967-034-01","1967-034-01-01","1967-034-01-01-01",1967-12-11,1,"389 U.S. 290","88 S. Ct. 438","19 L. Ed. 2d 530","1967 U.S. LEXIS 2958",1410,"Warren","15","HUGHES v. WASHINGTON",1967-11-06,NA,195,NA,28,56,1,NA,NA,0,302,56,300,56,0,12,3,1,1,4,0,1,0,0,100010,10,2,0,7,NA,NA,NA,"",78,90,1,8,0,3
"3268",1967,"TMarshall",1,1,"1967-197","1967-197-02","1967-197-02-01","1967-197-02-01-01",1968-06-17,2,"392 U.S. 652","88 S. Ct. 2302","20 L. Ed. 2d 1357","1968 U.S. LEXIS 1162",1410,"Warren","1535 M","AIKEN v. WASHINGTON",NA,NA,100,NA,28,56,1,NA,NA,0,302,56,300,56,0,12,NA,1,1,5,0,1,0,0,10270,1,2,0,3,NA,NA,NA,"",NA,90,1,6,3,3
"3269",1967,"TMarshall",1,1,"1967-190","1967-190-01","1967-190-01-01","1967-190-01-01-01",1968-06-17,6,"392 U.S. 616","88 S. Ct. 2258","20 L. Ed. 2d 1332","1968 U.S. LEXIS 1143",1410,"Warren","154","MILLER v. CALIFORNIA",1968-03-26,NA,100,NA,28,6,1,NA,NA,0,302,6,301,6,0,12,2,1,1,9,0,0,0,0,10050,1,1,0,3,NA,5,508,"",NA,78,1,5,4,3
"3270",1967,"TMarshall",1,1,"1967-065","1967-065-01","1967-065-01-01","1967-065-01-01-01",1968-01-29,1,"390 U.S. 129","88 S. Ct. 748","19 L. Ed. 2d 956","1968 U.S. LEXIS 3131",1410,"Warren","158","SMITH v. ILLINOIS",1967-12-07,NA,100,NA,28,17,1,NA,NA,0,302,17,301,17,0,11,2,1,1,3,0,1,0,0,10270,1,2,0,2,NA,2,213,"",94,90,1,8,1,3
"3271",1967,"TMarshall",1,1,"1967-198","1967-198-01","1967-198-01-01","1967-198-01-01-01",1968-06-17,2,"392 U.S. 665","88 S. Ct. 2310","20 L. Ed. 2d 1359","1968 U.S. LEXIS 1174",1410,"Warren","1599 M","MCDANIEL v. NORTH CAROLINA",NA,NA,100,NA,28,38,1,NA,NA,0,302,38,300,38,0,12,NA,1,1,5,0,1,0,0,10010,1,2,0,3,NA,NA,NA,"",NA,90,1,6,3,3
